Marchandise,Famille,Sous famille,Code interne,Code libre
YAOURT FRUITS 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT FRUITS BIO 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT NATURE (SEAU DE 5KG),LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT NATURE 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT NATURE BIFIDUS 125 GRS,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT SAVEUR D'AUTREFOIS CITRON (140GR),LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT SAVEUR D'AUTREFOIS FRAISE (140GR),LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT SAVEUR D'AUTREFOIS VANILLE (140GR),LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
FAISSELLE FERMIERE 100GR ,LOT 14 YAOURTS FERMIERS,YAOURTS FERMIERS,,
YAOURT FERMIER AUX FRUITS,LOT 14 YAOURTS FERMIERS,YAOURTS FERMIERS,,
YAOURT NATURE FERMIER,LOT 14 YAOURTS FERMIERS,YAOURTS FERMIERS,,
BLEU D' AUVERGNE KG ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
BRIE 1 KILO,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
BRIE 45% MG ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
BUCHE DU PILAT ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
BUCHETTE MELANGE ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
CARRE DE L'EST 45 % MG - 200GR -,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
CHEDDAR ROUGE JEUNE 34.9% MG,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
COMTE POINTE EXTRA,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
COULOMMIERS ENTIER 320 GRS,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
EMMENTAL ENTIER ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
FOURME D'AMBERT,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
FROMAGE FRAIS TARTINABLE 1KG,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
MASCARPONE POT DE 500 GRS,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
MOZZARELLA PAIN  1 KG,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
REBLOCHON  LAITIER ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
SAINT FELICIEN 150 G NU,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
SAINT MARCELLIN ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
SAINT NECTAIRE ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
SAINT PAULIN 2KG ,LOT 15 FROMAGE VRAC & POR,FROMAGE A COUPER,,
BARQUETTE DE VACHE QUI RIT,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
CANCOILLOTE A L'AIL (0.500KG),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
CANCOILLOTTE A L' AIL (0.250 KG),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
CANCOILLOTTE NATURE (0.250 KG),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
CANCOILLOTTE NATURE (0.500 KG),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
COPEAUX DE PARMESAN (PETALES),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
DES DE BREBIS ,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
EMMENTAL EN DE  ,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
EMMENTAL RAPE SACHET 1 KG  45% MG ,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
EMMENTAL TRANCHE  15G,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
FROMAGE AIL & FH A TARTINER (500 GR),LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
MOZZARELLA MINI 5 GRS ,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
PARMESAN RAPE,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
ROQUEFORT EN DE ,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
TARTARE AIL & FH A TARTINER,LOT 15 FROMAGE VRAC & POR,FROMAGE RAPE/A TARTINER,,
BLEU DOUCEUR PORTION 30 GR,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
CAMEMBERT PORTION 30 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
CANTAL PORTION 25 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
CHEVRE FRAIS 125 G,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
EMMENTAL BATONNET ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
FROMAGE FONDU 20 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
FROMAGE FRAIS AIL & FINE HERBE  16 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
FROMAGE FRAIS PORTION 20GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
FROMAGE FRAIS SOUFFLE NATURE - ARRET,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
MINI CHEVRE FRAIS 20 GR,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
MINI PAVE D'AFFINOIS  30 GR,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
PAVE 1/2 SEL - ARRET,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
PETIT LOUIS 20 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
PORT SALUT PORTION ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
PORTION FOL EPIS,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
ROQUEFORT PORTION 25 GR ,LOT 15 FROMAGE VRAC & POR,FROMAGES PORTIONS,,
BEURRE CUIRE ET ROTIR,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE MICROPAIN  10 GR,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE MICROPAIN 10 GR BIO,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE MICROPAIN 15 GR ,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE MICROPAIN 15 GR BIO,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE MOTTE 5 KG ,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE PLAQUETTE 250GR ,LOT 16 LAITIER ET AVICOLE,BEURRE,,
BEURRE TARTINABLE ,LOT 16 LAITIER ET AVICOLE,BEURRE,,
CREME  LIQUIDE UHT OUTRE 1/2 ECREME 30% BIO,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME ANGLAISE U.H.T. BRIQUE 1 L ,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME CHANTILLY BOMBE ,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME EPAISSE 1 KG ,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME EPAISSE SEAU,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME LIQUIDE UHT OUTRE 10L,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME SUCREE VANILLEE  1 L ,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME UHT 18 % SPECIALE LIAISON CUISSON ,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME UHT 35 % BIO,LOT 16 LAITIER ET AVICOLE,CREME UHT,,
CREME UHT 35% BRIQUE 1L (PATISSERIE),LOT 16 LAITIER ET AVICOLE,CREME UHT,,
LAIT  U.H.T. 1/2 ECREME 1 L ,LOT 16 LAITIER ET AVICOLE,LAIT UHT,,
LAIT UHT 1/2 ECREME BIO,LOT 16 LAITIER ET AVICOLE,LAIT UHT,,
LAIT UHT OUTRE 1/2 ECREME,LOT 16 LAITIER ET AVICOLE,LAIT UHT,,
LAIT UHT OUTRE 10 L 1/2 ECREME BIO,LOT 16 LAITIER ET AVICOLE,LAIT UHT,,
BLANC D'OEUF   ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
BLANC D'OEUF EN NEIGE ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
COULE  OEUF ENTIER BBC,LOT 16 LAITIER ET AVICOLE,OEUFS,,
COULE OEUF ENTIER ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
JAUNE D'OEUF ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
NOUVELLE MARCHANDISE 6564,LOT 16 LAITIER ET AVICOLE,OEUFS,,
OEUF DUR ECALE BBC,LOT 16 LAITIER ET AVICOLE,OEUFS,,
OEUF DUR ECALE MOYEN,LOT 16 LAITIER ET AVICOLE,OEUFS,,
OEUF FRAIS ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
OEUF POCHE  MOULE ,LOT 16 LAITIER ET AVICOLE,OEUFS,,
BAGNAT AUX CEREALES ,LOT 17 BOUL / PAT,PAINS,,
BAGUEL'S AUX CEREALES ,LOT 17 BOUL / PAT,PAINS,,
BAGUETTE 120GR,LOT 17 BOUL / PAT,PAINS,,
BAGUETTE 250GR,LOT 17 BOUL / PAT,PAINS,,
BAGUETTE PAVOT 120 GR,LOT 17 BOUL / PAT,PAINS,,
BAGUETTE SESAME 120 GR,LOT 17 BOUL / PAT,PAINS,,
PAIN AU NOIX TRANCHE,LOT 17 BOUL / PAT,PAINS,,
PAIN AUX FIGUES TRANCHES,LOT 17 BOUL / PAT,PAINS,,
PAIN DE CAMPAGNE */ (1KG) TRANCHE,LOT 17 BOUL / PAT,PAINS,,
PAIN DE CAMPAGNE ROND 50 GR,LOT 17 BOUL / PAT,PAINS,,
PAIN DE SEIGLE TRANCHE (0.250),LOT 17 BOUL / PAT,PAINS,,
PAVE RUSTIQUE (60 GR),LOT 17 BOUL / PAT,PAINS,,
PAVE SAVEUR (50 GR),LOT 17 BOUL / PAT,PAINS,,
PETIT PAIN  50 GR,LOT 17 BOUL / PAT,PAINS,,
PETIT PAIN 80 G LONG ,LOT 17 BOUL / PAT,PAINS,,
PETIT PAIN LONG BIO 30 GR,LOT 17 BOUL / PAT,PAINS,,
BEIGNET CHOCOLAT */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
BEIGNET FRAMBOISE ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
BEIGNET POMMES,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
BROWNIE*/ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
COOKIE */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
ECLAIR CAFE */,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
ECLAIR CHOCOLAT */,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
ECLAIR VANILLE */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
MILLEFEUILLE */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
MUFFIN  CHOCOLAT  */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
MUFFIN NATURE ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
TARTELETTE CHOCOLAT */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
TARTELETTE CITRON */,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
TARTELETTE PRALINE */ ,LOT 17 BOUL / PAT,PATISSERIES FRAICHES,,
BRIOCHE ARTISANALE,LOT 17 BOUL / PAT,VIENNOISERIES,,
CROISSANT FRAIS ,LOT 17 BOUL / PAT,VIENNOISERIES,,
DEJEUNETTE VIENNOISE PT DEJ (80 GR),LOT 17 BOUL / PAT,VIENNOISERIES,,
DEJEUNETTE VIENNOISE SALE (125 GR),LOT 17 BOUL / PAT,VIENNOISERIES,,
DEJEUNETTE VIENNOISE SUCRE (120 GR),LOT 17 BOUL / PAT,VIENNOISERIES,,
PAIN AU CHOCOLAT FRAIS ,LOT 17 BOUL / PAT,VIENNOISERIES,,
PAIN AUX RAISINS  FRAIS ,LOT 17 BOUL / PAT,VIENNOISERIES,,
ABRICOTS CAL AA ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
CERISE CAL 20/22 ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FIGUE FRAICHE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FRAISE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FRAISE FRANCAISE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FRAISE GARIGUETTE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FRAMBOISES ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
FRUITS DE SAISON ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
GROSEILLE BARQUETTE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
KIWIS CAL 33,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
MELON CANARI ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
MELON VERT ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
NECTARINE CAL B ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PASTEQUE SANS PEPIN 4/5,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PECHE CAL B ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PECHE DE VIGNE CAL B ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
POIRE 65/70,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
POMME GOLDEN 136/165 ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
POMME GRANY CAL 136/165 ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
POMME ROUGE CAL 136/165 ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
POMMES REINETTES CAL 115/135 ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PRUNE JAUNE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PRUNE QUETSCHE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PRUNES GOLDEN ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PRUNES MIRABELLE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
PRUNES REINE CLAUDE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
RAISINS BLANCS  ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
RAISINS NOIRS ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATE 57,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATE CERISE BARQUETTE ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATE COCKTAIL  GRAPPE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATE GREEN ZEBRA,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATE NOIRE DE CRIMEE,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATES ANANAS (JAUNE),LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATES CERISES JAUNES ,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATES COEUR DE BOEUF,LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
TOMATES MELANGEES (ANCIENNE),LOT 18 FRUIT/LEGUME FRAIS,FRUIT DE SAISON,,
ANETH BOTTE ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
BASILIC BOTTE ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
CERFEUIL FRAIS (BOTTE),LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
CIBOULETTE ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
CORIANDRE FRAICHE,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
ECHALOTE FRAICHE ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
ESTRAGON FRAIS,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
LAURIER FRAIS,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
MENTHE FRAICHE,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
ORIGAN FRAIS,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
OSEILLE FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
PERSIL   FRISE  FRAIS,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
PERSIL PLAT ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
ROMARIN BOTTE ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
SAUGE - BOTTE,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
THYM /LAURIER EN PAQUET ,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
THYM FRAIS BOTTE,LOT 18 FRUIT/LEGUME FRAIS,HERBES FRAICHES,,
AIL AU DETAIL,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
AUBERGINES,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CAROTTE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CELERI BRANCHE ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHAMPIGNON DE PARIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU BLANC FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU BROCOLIS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU DE BRUXELLE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU FLEUR FRAIS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU FRISE ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CHOU ROUGE ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
CONCOMBRE FRAIS DROIT,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
COTE DE BLETTE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
COURGE FRAICHE ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
COURGETTES FRAIS  CAL 14/21 ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
COURGETTES JAUNES CAL 14/21 ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
ENDIVES FRAICHES CAT 1,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
EPINARD FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
FENOUIL FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
HARICOTS BEURRES FINS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
HARICOTS VERTS FINS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
MELON ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
MESCLUN,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
NAVETS LONGS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
OIGNON BLANC 6/8 ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
OIGNON JAUNE 6/8,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
OIGNONS ROUGES 6/8 ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
PANAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POIREAUX FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POIVRON JAUNE FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POIVRON ROUGE FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POIVRON VERT FRAIS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POMME DE TERRE BINTJE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POMME DE TERRE CHAIR FERME,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POMME DE TERRE CHARLOTTE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POTIMARRON ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
POTIRON,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
RADIS BLANCS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
RADIS DEMI- LONG BOTTE FRAIS ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
RADIS NOIRS,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
RADIS ROND BOTTE ,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
ROQUETTE,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
SALADE FRAÎCHE SAISON 500 GR,LOT 18 FRUIT/LEGUME FRAIS,LEGUMES DE SAISON,,
ANANAS FRAIS BATEAU,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
BANANE 16 A 19 CM TOURNANT JAUNE  ,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
BANANE PLANTAIN ,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
CARAMBOLE,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
CITRON  JAUNE CAL 5/50,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
CITRON VERT ,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
CLEMENTINE (PETITE),LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
FRUIT DE LA PASSION FRAIS,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
MANGUE FRAIS AVION  ,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
ORANGE CAL 5,LOT 19 FRUIT/LEGUM EXOTIQ,FRUITS EXOTIQUES,,
AVOCAT HASS CAL 22 ,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
CITRONNELLE EN TIGE FRAIS ORIGINE FRANCE,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
GERME DE SOJA FRAIS ,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
GINGEMBRE FRAIS ,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
PAMPLEMOUSSES ROSE CAL 40/50 ,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
PATATE DOUCE,LOT 19 FRUIT/LEGUM EXOTIQ,LEGUMES EXOTIQUES,,
SIROP DE CASSIS ,LOT 20 BOISSONS ,BOISSON ,,
SIROP DE MENTHE ,LOT 20 BOISSONS ,BOISSON ,,
BADOIT 0.75 CL VP,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
BADOIT 1 L  PET,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
BADOIT 50 CL PET,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU DE SOURCE 1.5 L,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU DE SOURCE 50 CL,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE 1 L PET- ARRET FRS,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE 50 CL VOLVIC PET,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE CHATELDON 0.75CL  VP,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE EVIAN 0.75CL  VP- ARRET FRS,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE EVIAN 1.5 L  PET,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE NATURELLE GAZEUSE 1.25 L ,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE NATURELLE GAZEUSE 50 CL ,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU MINERALE VITTEL 1.5L PET- ARRET FRS,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
EAU PLATE 0.75 CL VP - THONON,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
PERRIER 33 CL CANETTE,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
SAN PELLEGRINO 0.75 CL VP- ARRET FRS,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
VITTEL 50 CL PET,LOT 20 BOISSONS ,EAUX PLATES/GAZEUSES,,
JUS D'ORANGE SUPERIEUR BIO 1L - BRIQUE,LOT 20 BOISSONS ,JUS DE FRUITS BIO,,
JUS DE POMME BIO 1 L VP,LOT 20 BOISSONS ,JUS DE FRUITS BIO,,
JUS MULTIFRUITS BIO 1 L - BRIQUE,LOT 20 BOISSONS ,JUS DE FRUITS BIO,,
BRIQUETTE DE JUS D'ORANGE ABC 20 CL,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
BRIQUETTE DE MULTI-FRUITS 20CL,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
BRIQUETTE JUS D'ANANAS 20CL,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
BRIQUETTE JUS POMMES 20CL,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
BRIQUETTE JUS RAISIN 20CL,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
CIDRE BRUT 75 CL ,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
JUS D' ORANGE 1 L BOCAL VP,LOT 20 BOISSONS ,JUS DE FRUITS/CIDRE,,
JUS DE RAISIN 1L (PUR JUS),LOT 20 BOISSONS ,PUR JUS,,
